body_system,health_concern,herb_name,latin_name,actions,indications,energetics,safety,dose_min_ml,dose_max_ml,dose_unit,ratio
Digestion & Liver,Bloating,Gentian,Gentiana lutea,Strong bitter; Digestive stimulant; Gastric tonic; Cholagogue,"Excellent for heavy bloating linked to weak digestion, low stomach acid or sluggish appetite; reduces fermentation gas",Cooling; Drying; Strongly stimulating,Avoid in active gastric ulcers or severe reflux,5,15,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Gentian,Gentiana lutea,Strong bitter; Digestive stimulant,Used for marked hypochlorhydria and digestive weakness,Bitter; Cooling; Drying,Strong bitters can aggravate nausea and reflux; often avoided in early pregnancy; small doses may be used cautiously later if clearly needed and supervised; compatible with breastfeeding in modest doses,,,-,
Cardiovascular,Capillary fragility,Ginkgo,Ginkgo biloba,Microcirculatory enhancer; Antioxidant; Platelet-modulating,"Supports capillary integrity and blood flow to extremities, brain and eyes",Cooling; Drying; Moving,Use with caution alongside anticoagulant/antiplatelet drugs or before surgery,30,60,mL,1:2
Cardiovascular,Circulation / Raynaud's Syndrome,Ginkgo,Ginkgo biloba,Microcirculatory enhancer; Antioxidant; Platelet-modulating,Improves digital and peripheral blood flow; useful where Raynaud-type episodes are linked to poor microcirculation,Cooling; Drying; Moving,Use with caution with anticoagulant drugs; discontinue before surgery,30,60,mL,1:2
Cardiovascular,Hypotension,Ginkgo,Ginkgo biloba,Microcirculatory enhancer; Vascular modulator,Supports cerebral and peripheral perfusion in low blood-pressure states with dizziness and poor concentration,Cooling; Drying; Moving,Use cautiously with anticoagulants or before surgery,30,60,mL,1:2
Cardiovascular,Varicose Veins,Ginkgo,Ginkgo biloba,Microcirculatory enhancer; Antioxidant,Improves peripheral blood flow and endothelial function in chronic venous insufficiency,Cooling; Drying; Moving,Use cautiously with anticoagulant therapy,30,60,mL,1:2
Men's Health,Erectile Dysfunction,Ginkgo,Ginkgo biloba,Microcirculatory enhancer; Antioxidant; Platelet-modulating,Supports penile blood flow and endothelial function in vascular ED patterns,Cooling; Drying; Moving,Use cautiously with anticoagulant/antiplatelet drugs and before surgery,30,60,mL,1:2
Skin Condition,Chilblains,Ginkgo,Ginkgo biloba,Microcirculatory enhancer; Antioxidant; Vascular modulator,Improves peripheral blood flow and reduces cold-induced vasospasm common in chilblains,Cooling; Drying; Moving,Use cautiously with anticoagulant/antiplatelet drugs,30,60,mL,1:2
Women's Health,Mastalgia,Ginkgo,Ginkgo biloba,Microcirculatory enhancer; Antioxidant; Vascular tonic,Improves breast microcirculation and reduces cyclic pain with congestion,Cooling; Drying; Moving,Generally avoided near surgery or with anticoagulants; avoid pregnancy; lactation data limited,30,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Ginkgo,Ginkgo biloba,Microcirculatory enhancer; Antiplatelet,Used for circulation and cognition,Cooling; Drying; Moving,Generally avoided in pregnancy and around delivery due to bleeding risk; lactation safety is unclear so it is usually avoided unless clearly indicated and supervised,,,-,
Skin Condition,Acne,Licorice,Glycyrrhiza glabra,Anti-inflammatory; Hormone modulator; Adrenal support,"Useful for acne with inflammation, hormonal dysregulation or stress involvement",Cooling; Moistening; Nourishing,"Caution in hypertension, oedema or renal impairment with long-term high doses",10,30,mL,1:1
Pregnancy & Lactation,Pregnancy & Lactation,Licorice,Glycyrrhiza glabra,Adrenal tonic; Demulcent; Anti-inflammatory,"Used for reflux, cough and adrenal support",Cooling; Moistening; Nourishing,Chronic high-dose glycyrrhizin is not advised in pregnancy or lactation due to BP and cortisol effects; low-dose short-term demulcent use may be acceptable under supervision,,,-,
Women's Health,PCOS,Licorice,Glycyrrhiza glabra,Adrenal tonic; Anti-inflammatory; Mild anti-androgenic,"Useful where PCOS is linked to HPA-axis stress, inflammation and mild hyperandrogenism",Cooling; Moistening; Nourishing,Chronic high-dose use can raise blood pressure and affect potassium; avoid in uncontrolled hypertension; fine short–medium term at moderate doses in non-pregnant adults,10,30,mL,1:1
Pregnancy & Lactation,Pregnancy & Lactation,Licorice,Glycyrrhiza glabra,Adrenal tonic; Demulcent,As above but often higher glycyrrhizin content,Cooling; Moistening,"As above, with even more reason to limit dose/duration; generally avoid as a strong adrenal tonic in pregnancy; cautious use in breastfeeding only if clearly indicated",,,-,
Digestion & Liver,Constipation,Licorice,Glycyrrhiza glabra,Adrenal tonic; Demulcent; Mild laxative; Anti-inflammatory,"Supports constipation with dryness or spasm, soothing the gut and softening stools while protecting mucosa",Cooling; Moistening; Nourishing; Sweet,"Generally safe; avoid prolonged high doses in hypertension, oedema or significant renal impairment due to potential sodium and fluid retention",10,30,mL,1:1
Cardiovascular,Hypotension,Licorice,Glycyrrhiza glabra,Adrenal tonic; Mild mineralocorticoid effect; Anti-inflammatory,Can assist low blood pressure linked with adrenal depletion and fatigue by gently raising BP in some individuals,Cooling; Moistening; Nourishing,"Contraindicated in uncontrolled hypertension, oedema and significant kidney disease; monitor electrolytes with long-term use",10,30,mL,1:1
Women's Health,Fertility,Licorice,Glycyrrhiza glabra,Adrenal tonic; Anti-inflammatory; Mild estrogenic support,"Useful where stress, cortisol dysregulation or inflammation impact fertility; supports cervical mucus quality",Cooling; Moistening; Nourishing,Chronic high-dose glycyrrhizin not recommended; avoid once pregnant; caution with hypertension,10,30,mL,1:1
Pregnancy & Lactation,Pregnancy & Lactation,Grindelia,Grindelia camporum,Respiratory antispasmodic; Expectorant,Used for spasmodic cough and asthma,Cooling; Drying,Limited safety data; generally avoided in pregnancy and lactation unless clearly necessary and under specialist supervision,,,-,
Haematology,Haemochromatosis,Gymnema,Gymnema sylvestre,Metabolic modulator; Mild anti-inflammatory,Supports metabolic regulation in haemochromatosis patients with coexisting dysglycaemia; may reduce oxidative stress,Warming to neutral; Drying; Lightly bitter,Generally safe; may lower blood glucose—monitor with diabetic meds,20,50,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Gymnema,Gymnema sylvestre,Metabolic modulator; Hypoglycaemic,Used for diabetes and sugar cravings,Bitter; Drying,Generally avoided in pregnancy because of metabolic and pancreatic effects; lactation safety is unclear so use cautiously if at all,,,-,
Women's Health,PCOS,Gymnema,Gymnema sylvestre,Metabolic modulator; Hypoglycaemic; Sugar-craving reducer,"Key herb for PCOS with insulin resistance, cravings and dysglycaemia",Bitter; Drying,Generally safe for non-pregnant adults; monitor blood glucose and adjust diabetic medications as needed; avoid in pregnancy,20,50,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Gynostemma,Gynostemma pentaphyllum,Adaptogen; Metabolic support,Used for endurance and cardiometabolic support,Cooling; Moistening,Very limited safety data; best avoided in pregnancy and breastfeeding or used only within specialist frameworks,,,-,
Digestion & Liver,Diarrhoea,Witchhazel,Hamamelis virginiana,Astringent; Anti-inflammatory; Vascular tonic,Indicated for watery diarrhoea and bowel hypersecretion where firming and toning of tissues is required,Cooling; Drying; Toning,Generally safe at internal therapeutic doses; high doses may cause nausea; avoid long-term high-dose use without supervision,20,40,mL,1:5
Pregnancy & Lactation,Pregnancy & Lactation,Devil's Claw,Harpagophytum procumbens,Anti-inflammatory; Analgesic,"Used for musculoskeletal pain and arthritis, not routine pregnancy care",Cooling; Drying,Generally avoided in pregnancy due to theoretical uterine effects and lack of data; use cautiously or avoid in lactation,,,-,
Digestion & Liver,Diarrhoea,Kohemiko,Hebe salicifolia,Astringent; Anti-inflammatory; Mucosal tonic,Traditionally indicated for diarrhoea and bowel disturbance with excess moisture and irritation,Cooling; Drying; Stabilising,Use under practitioner guidance; limited safety data; avoid in pregnancy due to insufficient evidence,15,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Hemidesmus,Hemidesmus indicus,Blood purifier; Immune modulator,Used in some traditions for autoimmune/skin issues,Neutral; Moistening; Cooling,Limited human data; generally avoided in pregnancy and lactation unless prescribed by experienced practitioner in a traditional context,,,-,
Digestion & Liver,Constipation,Hoheria,Hoheria populnea,Demulcent; Soothing to mucous membranes; Mild anti-inflammatory,Useful where constipation is accompanied by dryness or irritation of the bowel; combines well with stronger laxatives to protect tissues,Cooling; Moistening; Soothing,Generally very safe; no major contraindications reported at standard doses,20,60,mL,1:4
Pregnancy & Lactation,Pregnancy & Lactation,Hops,Humulus lupulus,Sedative; Bitter; Phytoestrogenic,Used for insomnia and anxiety,Bitter; Cooling; Moistening,Usually avoided in pregnancy due to hormonal effects; small doses may be compatible in breastfeeding but can cause infant drowsiness—use cautiously if at all,,,-,
Women's Health,Menopause,Hops,Humulus lupulus,Sedative; Mild phytoestrogen; Relaxing,"Helpful for anxiety, hot flushes, restlessness and sleep disturbance in menopause",Cooling; Moistening; Calming,Oestrogenic profile requires caution with oestrogen-sensitive cancers; avoid pregnancy; may cause infant sedation if used in lactation,20,40,mL,1:2
Women's Health,PCOS,Hops,Humulus lupulus,Sedative; Mild phytoestrogen; Hormonal modulator,"Useful where anxiety, insomnia and low oestrogen symptoms accompany PCOS",Cooling; Moistening; Calming,Oestrogenic actions require caution in estrogen-sensitive cancers; avoid pregnancy; may cause sedation especially with other CNS depressants,20,40,mL,1:2
Skin Condition,Fungal Infections,Golden Seal,Hydrastis canadensis,Antimicrobial; Antifungal; Astringent,Used for resistant fungal infections and mucosal overgrowth; supports gut and skin integrity,Bitter; Cooling; Drying,Use short term; avoid in pregnancy and with high blood pressure; caution with liver disease,10,30,mL,1:3
Pregnancy & Lactation,Pregnancy & Lactation,Golden Seal,Hydrastis canadensis,Strong antimicrobial; Bitter; Mucous membrane tonic,Used short term for difficult infections,Bitter; Cooling; Drying,Berberine- and hydrastine-rich; generally contraindicated in pregnancy and lactation due to uterine and neonatal safety concerns,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Golden Seal,Hydrastis canadensis,Strong antimicrobial; Bitter; Mucous membrane tonic,Duplicate listing; same considerations as above,Bitter; Cooling; Drying,Avoid in pregnancy and breastfeeding because of berberine content and limited neonatal safety data,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,St John's Wort,Hypericum perforatum,Antidepressant; Nervine,As above,Neutral to cooling; Drying,As above: use in pregnancy only when clearly indicated and supervised; breastfeeding use requires monitoring of infant and careful drug–herb interaction review,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,St John's Wort,Hypericum perforatum,Antidepressant; Nervine; Anti-inflammatory,Used for mild–moderate depression and nerve pain,Neutral to cooling; Drying,Pregnancy data are limited; generally avoided or reserved for cases where benefits clearly outweigh risks and other options fail; in lactation it may be used cautiously with infant monitoring for sedation or colic and with attention to drug interactions,,,-,
Skin Condition,Cold Sores (Herpes simplex),St John's Wort,Hypericum perforatum,Antiviral; Nerve trophorestorative; Anti-inflammatory,Useful for herpes simplex with burning pain and nerve irritation; supports tissue healing,Neutral to cooling; Drying; Restorative,"Avoid with SSRIs, anticoagulants, oral contraceptives and many medications due to CYP interactions; avoid in bipolar disorder",20,40,mL,1:2
Women's Health,Menopause,St John's Wort,Hypericum perforatum,Antidepressant; Nervine; Vasomotor stabiliser,"Supports mood swings, anxiety, irritability and sleep disturbances in menopause",Neutral to cooling; Drying,"Avoid with interacting medications (SSRIs, anticoagulants, OCP); avoid pregnancy; may be safe in lactation with monitoring",20,40,mL,1:2
Women's Health,PMS,St John's Wort,Hypericum perforatum,Antidepressant; Nervine; Mild analgesic,"Supports low mood, irritability, emotional lability and pain sensitivity in PMS",Neutral to cooling; Drying,"Contraindicated with many medications (SSRIs, OCP, anticoagulants, some antidepressants); avoid in pregnancy; monitor photosensitivity at high doses",20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Iberis,Iberis amara,Bitter digestive; Cardiovascular support,Used in some complex cardiovascular formulas,Bitter; Cooling,Safety data in pregnancy/lactation are very limited; avoid use unless under specialist supervision in cardiology/herbal medicine,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Elecampane,Inula helenium,Respiratory expectorant; Antimicrobial,"Used for chronic cough, not routine pregnancy herb",Warming; Drying,Limited data and essential oil–rich nature mean it is usually avoided in pregnancy; lactation use only with caution and specialist guidance,,,-,
Skin Condition,Eczema,Blue Flag,Iris versicolor,Alterative; Lymphatic; Mild hepatic support,"Indicated for chronic eczema with congestion, sluggish elimination and skin inflammation",Cooling; Drying; Moving,Low-dose herb; avoid in pregnancy; excessive doses may cause nausea,1,5,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Blue Flag,Iris versicolor,Alterative; Lymphatic; Hepatic,"Occasionally used for chronic skin/liver issues, not in pregnancy",Cooling; Drying; Moving,Considered unsafe in pregnancy and lactation due to potential toxicity and lack of safety data,,,-,
Skin Condition,Fungal Infections,Black Walnut,Juglans nigra,Antifungal; Antimicrobial; Astringent,"Traditionally used for dermatophytes, candida and parasitic/fungal skin infections",Warming; Drying; Bitter,Use short term only; avoid in pregnancy; caution with GI irritation,10,30,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Black Walnut,Juglans nigra,Antiparasitic; Antifungal; Astringent,"Used for parasitic and fungal issues, not pregnancy support",Warming; Drying; Bitter,Internal use is avoided in pregnancy and lactation due to potential toxicity and lack of safety data,,,-,
Men's Health,Prostatitis,Juniper,Juniperus communis,Urinary antiseptic; Diuretic; Circulatory stimulant,Indicated for prostatitis with lower UTI where there is stagnation and dull pelvic ache,Warming; Drying; Stimulating,"Short-term use only; avoid in pregnancy, kidney inflammation and severe renal disease",10,25,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Adhatoda,Justicia adhatoda,Respiratory expectorant; Bronchodilator,Not recommended for use in pregnancy or breastfeeding,Heating; Penetrating,Contraindicated in pregnancy due to uterotonic/abortifacient potential; avoid in lactation as safety data are lacking and toxicity is possible,,,-,
Digestion & Liver,Diarrhoea,Kanuka,Kunzea ericoides,Antimicrobial; Anti-inflammatory; Mild astringent,Traditional support for bowel imbalance where low-grade infection or dysbiosis contributes to diarrhoea,Cooling; Drying; Clearing,Generally well tolerated; limited formal safety data; avoid in pregnancy due to limited evidence,20,60,mL,1:2
Skin Condition,Cold Sores (Herpes simplex),Kanuka,Kunzea ericoides,Antiviral; Anti-inflammatory; Antimicrobial,"Traditional support for herpes simplex outbreaks; reduces inflammation, pain and lesion duration",Cooling; Drying; Clearing,Generally safe; limited formal data; avoid in pregnancy due to insufficient research,20,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Lavender,Lavandula angustifolia,Sedative; Anxiolytic; Carminative,"Used for anxiety, insomnia and mild digestive upset in pregnancy",Cooling to neutral; Calming,Typically regarded as safe in pregnancy and lactation at tea/aromatherapy-level and modest tincture doses; avoid very high internal dosing,,,-,
Women's Health,PMS,Lavender,Lavandula angustifolia,Sedative; Anxiolytic; Mild antidepressant,"Useful for PMS with anxiety, irritability, insomnia and tension headaches",Cooling to neutral; Calming,Generally safe for non-pregnant adults at standard doses; avoid very high internal dosing; can be combined with other nervines,20,40,mL,1:2
Cardiovascular,Arrhythmia,Motherwort,Leonurus cardiaca,Cardiotonic; Mild antiarrhythmic; Nervine,"Indicated for palpitations and irregular heartbeat associated with anxiety, hormonal shifts or stress",Warming to neutral; Moving; Calming,Avoid in pregnancy; may potentiate sedative or cardiac medications—use under supervision,15,30,mL,1:2
Cardiovascular,Palpitations,Motherwort,Leonurus cardiaca,Cardiotonic; Nervine; Mild antiarrhythmic,"Indicated for palpitations related to anxiety, menopause or PMS",Warming to neutral; Moving; Calming,Avoid in pregnancy; caution with other cardiac or sedative drugs,15,30,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Motherwort,Leonurus cardiaca,Cardiotonic; Nervine; Uterine-modulating,"Used for palpitations, anxiety and menstrual complaints",Warming to neutral; Moving; Calming,Traditionally considered contraindicated in pregnancy due to uterine effects; may be used cautiously postpartum or in lactation under professional supervision,,,-,
Women's Health,Amenorrhoea,Motherwort,Leonurus cardiaca,Cardiotonic; Nervine; Uterine relaxant,"Useful where stress, tension and uterine spasm contribute to cycle suppression",Warming to neutral; Moving; Calming,Not used during pregnancy; can relax uterine musculature; suitable postpartum; may interact with sedatives,10,30,mL,1:2
Digestion & Liver,Diarrhoea,Manuka,Leptospermum scoparium,Antimicrobial; Anti-inflammatory; Astringent,Used traditionally for diarrhoea and dysbiosis-related gut disturbance; supports rebalancing of the intestinal flora and reduces irritation,Cooling; Drying; Cleansing,Generally safe; monitor in very sensitive digestion; avoid in pregnancy if high doses or long term,20,60,mL,1:2
Skin Condition,Acne,Manuka,Leptospermum scoparium,Antimicrobial; Anti-inflammatory; Astringent,"Supports control of acne linked with dysbiosis, inflammation and infected pustules",Cooling; Drying; Cleansing,Generally safe; monitor for dryness in very sensitive digestion,20,60,mL,1:2
Skin Condition,Boils,Lomatium,Lomatium dissectum,Antimicrobial; Immune-stimulant; Antiviral,Used traditionally for resistant infections and chronic suppurative conditions such as recurrent boils,Warming; Drying; Penetrating,May cause rash (photosensitivity-like) in some—reduce dose or discontinue; avoid in pregnancy,10,30,mL,1:2
Skin Condition,Fungal Infections,Lomatium,Lomatium dissectum,Antimicrobial; Immune-stimulant; Antifungal,Useful for resistant fungal infections and chronic immune suppression patterns,Warming; Drying; Penetrating,May cause rash in some individuals; discontinue if occurs; avoid in pregnancy,10,30,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Bugleweed,Lycopus spp.,Thyroid modulator; Mild sedative,"Used for hyperthyroid states, not for pregnancy support",Cooling; Drying,Contraindicated in pregnancy and lactation due to hormonal and thyroid effects,,,-,
Cardiovascular,Heart Failure,White Horehound,Marrubium vulgare,Cardiotonic; Mild vasodilator; Expectorant,"Traditionally used for chronic cardiac weakness with cough or congestion, supporting circulation and cardiac tone",Warming; Drying; Bitter,Generally safe; high doses may cause GI irritation,15,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,White Horehound,Marrubium vulgare,Respiratory expectorant; Bitter,Used for chronic cough and digestion,Warming; Drying; Bitter,"Limited safety data; generally avoided in pregnancy; in breastfeeding, short-term use for cough may be acceptable at moderate doses",,,-,
Digestion & Liver,Bloating,Chamomile,Matricaria recutita,Carminative; Antispasmodic; Anti-inflammatory; Nervine relaxant,"Ideal for bloating with tension, anxiety or IBS-type patterns; eases gas, cramping, fullness and digestive discomfort; gentle for children and sensitive individuals",Cooling; Drying; Soothing; Relieves digestive tension,Very safe; caution with Asteraceae allergy,20,40,mL,1:2
Digestion & Liver,Colic (Infants),Chamomile,Matricaria recutita,Carminative; Antispasmodic; Anti-inflammatory; Mild sedative,"Gentle support for infant colic with gas, cramping and digestive discomfort, especially when associated with irritability or difficulty settling",Cooling; Drying; Soothing; Relieves digestive tension,Very safe; widely used for infants; use appropriate paediatric dosing; caution with known Asteraceae allergy,20,60,mL,1:2
Digestion & Liver,Diarrhoea,Chamomile,Matricaria recutita,Anti-inflammatory; Antispasmodic; Carminative; Soothing nervine,"Useful for diarrhoea associated with gut irritation, cramping and anxiety or stress; calms the gut and promotes mucosal healing",Cooling; Drying; Soothing; Relieves spasm,Very safe; caution with Asteraceae allergy,20,60,mL,1:2
Digestion & Liver,Dyspepsia,Chamomile,Matricaria recutita,Carminative; Antispasmodic; Anti-inflammatory; Nervine relaxant,"Ideal for tension-type dyspepsia with cramping, epigastric discomfort and stress or anxiety components",Cooling; Drying; Soothing; Relieves spasm,Very safe; caution with Asteraceae allergy,20,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Chamomile,Matricaria recutita,Carminative; Mild sedative; Anti-inflammatory,"Used commonly for nausea, anxiety and digestion in pregnancy",Cooling; Drying; Soothing,Generally considered compatible with pregnancy and breastfeeding in moderate tea-level or tincture doses; avoid very high doses and in known Asteraceae allergy,,,-,
Women's Health,Menopause,Alfalfa,Medicago sativa,Nutritive tonic; Mild phytoestrogen; Mineral-rich,"Supports general vitality, mild estrogen deficiency symptoms and nutritional grounding during menopause",Neutral; Moistening; Nourishing,Generally well tolerated; caution in estrogen-sensitive cancers; avoid in autoimmune lupus; safe in non-pregnant adults,20,40,mL,1:2
Digestion & Liver,Bloating,Lemon Balm,Melissa officinalis,Carminative; Antispasmodic; Nervine relaxant; Mild digestive tonic,"Ideal for bloating worsened by stress, nervous tension or IBS; relieves gas, spasm and fullness; calms the gut–brain connection",Cooling; Drying; Calming; Relieves tension,Very safe; theoretical caution in hypothyroidism at high doses,,,mL,
Digestion & Liver,Colic (Infants),Lemon Balm,Melissa officinalis,Carminative; Antispasmodic; Nervine relaxant; Mild digestive tonic,"Useful for colic linked with nervous tension, restlessness or sensitivity; calms the gut–brain axis and eases gas and cramping",Cooling; Drying; Calming; Relieves tension,Very safe; adjust carefully for infant dosing; theoretical caution in thyroid dysfunction at high long-term doses,20,45,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Lemon Balm,Melissa officinalis,Nervine; Carminative; Mild antiviral,"Used for anxiety, sleep issues and digestion",Cooling; Drying; Calming,Generally considered compatible with pregnancy and breastfeeding in moderate doses; monitor thyroid in those with existing hypothyroidism,,,-,
Digestion & Liver,Bloating,Peppermint,Mentha x piperita,Carminative; Antispasmodic; Cooling digestive tonic,"Relieves gas, bloating, intestinal spasm and fullness; ideal for IBS-type bloating; helpful after heavy meals or in cases of digestive tension",Cooling; Drying; Disperses stagnation,Very safe; may aggravate reflux in sensitive individuals,,,mL,
Digestion & Liver,Colic (Infants),Peppermint,Mentha x piperita,Carminative; Antispasmodic; Cooling digestive aid,"Helps relieve colicky pain, gas and spasm in the gut; best used in low, well-diluted doses and often in combination with gentler carminatives",Cooling; Drying; Disperses stagnant digestive qi,Use cautiously in infants; avoid strong preparations or essential oil around face; may aggravate reflux in sensitive individuals,15,50,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Peppermint,Mentha x piperita,Carminative; Antispasmodic; Mild decongestant,"Used for nausea, IBS-type pain and headaches",Cooling; Drying; Dispersing,Tea-level use is common and generally considered safe in pregnancy and breastfeeding; very high internal doses or concentrated oils are avoided,,,-,
Cardiovascular,Angina,Bitter Melon,Momordica charantia,Metabolic modulator; Mild cardioprotective; Antioxidant,Used by practitioners as adjunct support where metabolic syndrome or dysglycaemia contribute to cardiovascular strain and angina-type presentations,Cooling; Drying; Bitters; Lightly dispersing,Generally safe; caution with hypoglycaemic drugs as it may enhance blood sugar–lowering effects,30,60,mL,1:2
Cardiovascular,Hypercholesterolaemia,Bitter Melon,Momordica charantia,Metabolic modulator; Hypoglycaemic; Mild hypolipidaemic,Used to support healthy lipid and glucose balance in metabolic cardiovascular risk patterns,Cooling; Drying; Bitter,Generally safe; monitor if on hypoglycaemic medications,30,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Nigella,Nigella sativa,Carminative; Mild galactagogue; Anti-inflammatory,Used in traditional systems as a food and sometimes to support milk production,Warming; Drying,Small culinary amounts are likely safe; medicinal dosing in pregnancy is generally avoided due to limited data; lactation use at modest doses may be acceptable with supervision,,,-,
Cardiovascular,Angina,Olive,Olea europaea folia,Mild hypotensive; Vascular protective; Antioxidant,Supports healthy blood pressure and arterial integrity where vascular load contributes to angina-type symptoms,Cooling; Drying; Stabilising,Generally safe; monitor with antihypertensive medications,25,50,mL,1:2
Cardiovascular,Hypertension,Olive,Olea europaea folia,Mild hypotensive; Vascular protective; Antioxidant,Supports reduction of elevated blood pressure and arterial health,Cooling; Drying; Stabilising,Generally safe; monitor with antihypertensive drugs,25,50,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Olive,Olea europaea folia,Cardiometabolic support; Mild hypotensive; Antioxidant,Used for blood pressure and immune support,Cooling; Drying,Generally avoided in hypotensive pregnant patients; modest use under supervision may be possible; lactation data are limited but it is likely low-risk at normal doses,,,-,
Skin Condition,Fungal Infections,Oregano,Origanum vulgare,Strong antifungal; Antibacterial; Carminative,"Used for resistant fungal infections (candida, dermatophytes); supports digestive antisepsis",Warming; Drying; Strongly aromatic,Internal liquid extract dosing not standard in MediHerb/Phytomed; use with caution or topically—leave as “—”,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Paeony,Paeonia lactiflora,Blood tonic; Anti-inflammatory; Spasmolytic,Used in TCM formulas for gynaecology and liver patterns,Cooling; Moistening; Nourishing,"Used traditionally in pregnancy formulas in East Asia, but modern Western practice is cautious; if used, it should be within TCM frameworks and under expert supervision; likely compatible with breastfeeding at modest doses",,,-,
Skin Condition,Acne,Paeony,Paeonia lactiflora,Anti-inflammatory; Hormone-balancing; Cooling blood tonic,"Indicated for hormonal acne with redness, heat, PMS or menstrual irregularities",Cooling; Moistening; Nourishing,Generally safe; avoid in pregnancy unless under professional supervision,20,40,mL,1:2
Women's Health,Endometriosis,Paeony,Paeonia lactiflora,Anti-inflammatory; Hormone-balancing; Spasmolytic,"Classic TCM herb for pelvic congestion, pain, clotting and hormonal imbalance in endometriosis",Cooling; Moistening; Nourishing,Generally safe for non-pregnant individuals; avoid pregnancy unless under expert TCM care; may potentiate anticoagulants,20,40,mL,1:2
Women's Health,Fertility,Paeony,Paeonia lactiflora,Anti-inflammatory; Hormone modulator; Uterine soothing,"Used in TCM fertility formulas to improve ovulatory function, reduce pelvic inflammation and harmonise cycles",Cooling; Moistening; Nourishing,Generally safe in fertility protocols; avoid in pregnancy unless supervised by TCM practitioner,20,40,mL,1:2
Women's Health,Fibrocystic Breast,Paeony,Paeonia lactiflora,Anti-inflammatory; Hormone-balancing; Spasmolytic,"Useful where fibrocystic changes involve hormonal irregularity, pelvic congestion or PMS patterns",Cooling; Moistening; Nourishing,Generally safe for non-pregnant adults; avoid pregnancy unless within expert TCM care; may potentiate anticoagulants,20,40,mL,1:2
Women's Health,Mastalgia,Paeony,Paeonia lactiflora,Anti-inflammatory; Antispasmodic; Hormonal harmoniser,"Useful where mastalgia occurs with PMS, pelvic congestion or smooth muscle tension",Cooling; Moistening; Nourishing,Generally safe for non-pregnant adults; avoid pregnancy unless under TCM guidance; may potentiate anticoagulants,20,40,mL,1:2
Women's Health,Menopause,Paeony,Paeonia lactiflora,Anti-inflammatory; Hormone-harmonising; Spasmolytic,"Excellent for irritability, tension, pain and hormonal transition symptoms",Cooling; Moistening; Nourishing,Generally safe for non-pregnant adults; avoid in pregnancy unless supervised by TCM practitioner,20,40,mL,1:2
Women's Health,Menorrhagia,Paeony,Paeonia lactiflora,Anti-inflammatory; Hormone-harmonising; Spasmolytic,"Useful for heavy bleeding with pelvic pain, clotting and hormonal imbalance",Cooling; Moistening; Nourishing,Generally safe for non-pregnant adults; avoid pregnancy unless under TCM guidance; may potentiate anticoagulant effects,20,40,mL,1:2
Women's Health,Menstrual Irregularity,Paeony,Paeonia lactiflora,Anti-inflammatory; Hormone harmoniser; Spasmolytic,"Supports regulation of irregular or painful cycles with clotting, PMS or pelvic congestion",Cooling; Moistening; Nourishing,Generally safe for non-pregnant adults; avoid pregnancy unless under expert TCM guidance; may potentiate anticoagulants,20,40,mL,1:2
Women's Health,Overian Cyst,Paeony,Paeonia lactiflora,Anti-inflammatory; Hormone-modulating; Spasmolytic,"Key TCM herb for ovarian cysts with pelvic congestion, pain, clotting and hormonal imbalance",Cooling; Moistening; Nourishing,Generally safe for non-pregnant adults; avoid pregnancy unless used within TCM frameworks; monitor with anticoagulant medications,20,40,mL,1:2
Men's Health,Erectile Dysfunction,Korean Ginseng,Panax ginseng,Adaptogen; Mild inotrope; Endocrine and libido tonic,"Indicated for ED associated with fatigue, low vitality and stress; supports testosterone balance and performance",Warming; Moistening; Strengthening,"Generally safe; avoid in acute hypertension, acute infections or with stimulants at high doses",25,60,mL,1:2
Men's Health,Fertility,Korean Ginseng,Panax ginseng,Adaptogen; Androgen-supportive; Sperm quality tonic,"Supports sperm count and motility, libido and overall vitality in subfertile men",Warming; Moistening; Strengthening,"Generally safe; avoid in uncontrolled hypertension, acute infections or high-dose stimulant use",25,60,mL,1:2
